SECCIÓN,DIVISIÓN,GRUPO,CLASE,SUBCLASE,DESCRIPCIÓN,
,,,,25933,Fabricación de utensilios de mesa y de cocina,
,,,2599,,Fabricación de otros productos elaborados de metal n.c.p.,
,,,,25991,Fabricación de envases de productos metálicos,
,,,,25992,"Fabricación de artículos de alambre, clavos, tornillos, arandelas, pernos y otros",
,,,,25993,Fabricación de artículos de metal de uso doméstico,
,,,,25999,Fabricación de productos metálicos n.c.p.,
,26,,,,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, DE ELECTRÓNICA Y DE  ÓPTICA",
,,261,,,"Fabricación de condensadores, transformadores, tableros electrónicos y circuitos integrados",
,,,2610,,"Fabricación de condensadores, transformadores, tableros electrónicos y circuitos integrados",
,,,,26100,"Fabricación de condensadores, transformadores, tableros electrónicos y circuitos integrados",
,,262,,,Fabricación y/o ensamblado de computadoras y equipo periférico,
,,,2620,,Fabricación y/o ensamblado de computadoras y equipo periférico,
,,,,26200,Fabricación y/o ensamblado de computadoras y equipo periférico,
,,263,,,Fabricación de equipo de comunicaciones,
,,,2630,,Fabricación de equipo de comunicaciones,
,,,,26300,Fabricación de equipo de comunicaciones,
,,264,,,"Fabricación y ensamblado de receptores de radio, televisión, aparatos de grabación y reproducción de sonido,  video y productos conexos",
,,,2640,,"Fabricación y ensamblado de receptores de radio, televisión, aparatos de grabación y reproducción de sonido,  video y productos conexos",
,,,,26400,"Fabricación y ensamblado de receptores de radio, televisión, aparatos de grabación y reproducción de sonido,  video y productos conexos",
,,265,,,"Fabricación de equipo de medición, prueba, navegación, control y de relojes",
,,,2651,,"Fabricación de equipo de medición, prueba, navegación y control",
,,,,26510,"Fabricación de equipo de medición, prueba, navegación y control",
,,,2652,,Fabricación de relojes y sus partes,
,,,,26520,Fabricación de relojes y sus partes,
,,266,,,"Fabricación de equipo médico, quirúrgico y de aparatos ortopédicos",
,,,2660,,"Fabricación de equipo médico, quirúrgico y de aparatos ortopédicos",
,,,,26600,"Fabricación de equipo médico, quirúrgico y de aparatos ortopédicos",
,,267,,,Fabricación de instrumentos de óptica y equipo fotográfico,
,,,2670,,Fabricación de instrumentos de óptica y equipo fotográfico,
,,,,26700,Fabricación de instrumentos de óptica y equipo fotográfico,
,,268,,,Fabricación de soportes magnéticos y ópticos para grabación,
,,,2680,,Fabricación de soportes magnéticos y ópticos para grabación,
,,,,26800,Fabricación de soportes magnéticos y ópticos para grabación,
,27,,,,"FABRICACIÓN DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS; APARATOS DE DISTRIBUCIÓN Y CONTROL DE LA ENERGÍA ELÉCTRICA",
,,271,,,"Fabricación de motores, generadores y transformadores eléctricos; aparatos de distribución y control de la energía eléctrica",
,,,2710,,"Fabricación de motores, generadores y transformadores eléctricos; aparatos de distribución y control de la energía eléctrica",
,,,,27100,"Fabricación de motores, generadores y transformadores eléctricos; aparatos de distribución y control de la energía eléctrica",
,,272,,,"Fabricación de acumuladores, pilas y baterías y acumuladores",
,,,2720,,"Fabricación de acumuladores, pilas y baterías y acumuladores",
,,,,27200,"Fabricación de acumuladores, pilas y baterías y acumuladores",
,,273,,,Fabricación de cables y dispositivos de cableado,
,,,2731,,Fabricación de cables de fibra óptica,
,,,,27310,Fabricación de cables de fibra óptica,
,,,2732,,Fabricación de otros cables e hilos eléctricos,
,,,,27320,Fabricación de otros cables e hilos eléctricos,
,,,2733,,Fabricación de dispositivos de cableado,
,,,,27330,Fabricación de dispositivos de cableado,
,,274,,,Fabricación de equipo eléctrico de iluminación,
,,,2740,,Fabricación de equipo eléctrico de iluminación,
,,,,27401,Fabricación de lámparas en general y sus partes,
,,,,27402,Fabricación de carteles y letreros luminosos,
,,,,27409,Fabricación de otro equipo de iluminación n.c.p.,
,,275,,,Fabricación de aparatos de uso doméstico,
,,,2750,,Fabricación de aparatos de uso doméstico,
,,,,27500,Fabricación de aparatos de uso doméstico,
,,279,,,Fabricación de otros tipos de equipo eléctrico,
,,,2790,,Fabricación de otros tipos de equipo eléctrico,
,,,,27900,Fabricación de otros tipos de equipo eléctrico,
,28,,,,FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P,
,,281,,,Fabricación de maquinaria de uso general,
,,,2811,,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas",
,,,,28110,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas",
,,,2812,,Fabricación de equipo de propulsión de fluidos,
,,,,28120,Fabricación de equipo de propulsión de fluidos,
,,,2813,,"Fabricación de bombas de aire y líquido, compresores, grifos y válvulas",
,,,,28130,"Fabricación de bombas de aire y líquido, compresores, grifos y válvulas",
,,,2814,,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",
,,,,28140,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",
,,,2815,,"Fabricación de hornos, hogares y quemadores",
,,,,28150,"Fabricación de hornos, hogares y quemadores",
,,,2816,,Fabricación de equipo de elevación y manipulación,
,,,,28160,Fabricación de equipo de elevación y manipulación,
,,,2817,,Fabricación de maquinaria y equipo de oficina,
,,,,28170,Fabricación de maquinaria y equipo de oficina,
,,,2818,,Fabricación de herramientas de mano motorizadas,
,,,,28180,Fabricación de herramientas de mano motorizadas,
,,,2819,,Fabricación de otros tipos de maquinaria de uso general,
,,,,28190,Fabricación de otros tipos de maquinaria de uso general,
,,282,,,Fabricación de maquinaria de uso especializado,
,,,2821,,Fabricación de maquinaria agropecuaria y forestal,
,,,,28210,Fabricación de maquinaria agropecuaria y forestal,
,,,2822,,"Fabricación de maquinaria para la conformación de metales, de máquinas herramienta y sus partes y piezas",
,,,,28220,"Fabricación de maquinaria para la conformación de metales, de máquinas herramienta y sus partes y piezas",
,,,2823,,Fabricación de maquinaria metalúrgica,
,,,,28230,Fabricación de maquinaria metalúrgica,
,,,2824,,"Fabricación de maquinaria para la explotación de minas, canteras y obras de construcción",
,,,,28240,"Fabricación de maquinaria para la explotación de minas, canteras y obras de construcción",
,,,2825,,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",
,,,,28250,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",
,,,2826,,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",
,,,,28260,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",
,,,2829,,Fabricación de otra maquinaria de uso especial,
,,,,28290,Fabricación de otra maquinaria de uso especial,
,29,,,,"FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIREMOLQUES",
,,291,,,Fabricación de vehículos automotores,
,,,2910,,Fabricación de vehículos automotores,
,,,,29100,Fabricación y ensamblado  de vehículos automotores,
,,292,,,"Fabricación de carrocerías, cabinas para vehículos automotores; fabricación de remolques y semirremolques",
,,,2920,,"Fabricación de carrocerías, cabinas para vehículos automotores; fabricación de remolques y semirremolques",
,,,,29200,"Fabricación de carrocerías, cabinas para vehículos automotores; fabricación de remolques y semirremolques",
,,293,,,"Fabricación de partes, piezas y accesorios para vehículos automotores",
,,,2930,,"Fabricación de partes, piezas y accesorios para vehículos automotores",
,,,,29300,"Fabricación de partes, piezas y accesorios para vehículos automotores",
,30,,,,FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE,
,,301,,,Construcción de embarcaciones y estructuras flotantes,
,,,3011,,Construcción de embarcaciones y estructuras flotantes,
,,,,30110,Construcción de embarcaciones y estructuras flotantes,
,,,3012,,Construcción de embarcaciones de recreo y deporte,
,,,,30120,Construcción de embarcaciones de recreo y deporte,
,,302,,,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías,
,,,3020,,Fabricación de locomotoras y material rodante,
,,,,30200,Fabricación de locomotoras y material rodante,
,,303,,,"Fabricación de aeronaves, naves espaciales y maquinaria conexa",
,,,3030,,"Fabricación de aeronaves, naves espaciales y maquinaria conexa",
,,,,30300,"Fabricación de aeronaves, naves espaciales y maquinaria conexa",
,,304,,,Fabricación de vehículos militares de combate,
,,,3040,,Fabricación de vehículos militares de combate,
,,,,30400,Fabricación de vehículos militares de combate,
,,309,,,Fabricación de equipo de transporte n.c.p.,
,,,3091,,"Fabricación de motocicletas, partes, piezas y accesorios",
,,,,30910,"Fabricación de motocicletas, partes, piezas y accesorios",
,,,3092,,Fabricación de bicicletas y de sillones de ruedas para inválidos,
,,,,30920,Fabricación de bicicletas y de sillones de ruedas para inválidos,
,,,3099,,Fabricación de otros tipos de equipo de transporte,
,,,,30990,Fabricación de otros tipos de equipo de transporte,
,31,,,,FABRICACIÓN DE MUEBLES,
,,310,,,Fabricación de muebles,
,,,3100,,Fabricación de muebles y colchones,
,,,,31001,"Fabricación de muebles y partes de muebles, principalmente de madera",
,,,,31002,"Fabricación de muebles y partes de muebles, principalmente de metal",
,,,,31003,"Fabricación de muebles de otros materiales, excepto los de piedra, hormigón y cerámica",
,,,,31004,Fabricación de somieres y colchones,
,32,,,,OTRAS INDUSTRIAS MANUFACTURERAS n.c.p.,
,,321,,,"Fabricación de joyas, bisutería y artículos conexos",
,,,3211,,Fabricación de joyas y artículos conexos,
,,,,32110,Fabricación de joyas de metales preciosos,
,,,3212,,Fabricación de artículos de bisutería,
,,,,32120,Fabricación de artículos de bisutería,
,,,3213,,Fabricación de artículos de orfebrería,
,,,,32130,Fabricación de artículos de orfebrería,
,,322,,,Fabricación de instrumentos de música,
,,,3220,,Fabricación de instrumentos de música,
,,,,32201,Fabricación de instrumentos de música de viento,
,,,,32202,Fabricación de instrumentos de música de cuerda,
,,,,32203,Fabricación de instrumentos de música de percusión,
,,,,32209,Fabricación de otros instrumentos de música n.c.p.,
,,323,,,Fabricación de artículos de deporte,
,,,3230,,Fabricación de artículos de deporte,
,,,,32300,Fabricación de artículos de deporte,
,,324,,,Fabricación de juegos y juguetes,
,,,3240,,Fabricación de juegos y juguetes,
,,,,32400,Fabricación de juegos y juguetes,
,,325,,,Fabricación de instrumentos y materiales médicos y odontológicos,
,,,3250,,Fabricación de instrumentos y materiales médicos y odontológicos,
,,,,32500,Fabricación de instrumentos y materiales médicos y odontológicos,
,,329,,,Otras industrias manufactureras n.c.p.,
,,,3290,,Otras industrias manufactureras n.c.p.,
,,,,32901,"Fabricación de bolígrafos, lápices, cintas  para máquinas de escribir y pizarras",
,,,,32902,"Fabricación de sombrillas, bastones y sus accesorios",
,,,,32903,Fabricación de sellos,
,,,,32904,"Fabricación escobas, pinceles y rodillos para pintura",
,,,,32905,"Fabricación de velas, cirios y artículos similares",
,,,,32906,Fabricación de ataúdes,
,,,,32909,Otras industrias manufactureras n.c.p.,
,33,,,,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
,,331,,,"Reparación de productos elaborados de metal, maquinaria y equipo",
,,,3311,,Reparación y mantenimiento de productos elaborados de metal,
,,,,33110,Reparación y mantenimiento de productos elaborados de metal,
,,,3312,,Reparación de maquinaria,
,,,,33121,Reparación y mantenimiento de maquinaria industrial,
,,,,33122,Reparación y mantenimiento de maquinaria de uso agropecuario y forestal,
,,,,33123,"Reparación y mantenimiento de maquinaria de uso en minas, yacimientos, canteras y procesamiento de metales",
,,,,33124,Reparación y mantenimiento de maquinaria de construcción,
,,,,33125,Reparación y mantenimiento de maquinaria de uso para la actividad comercial,
,,,,33129,Reparación y mantenimiento de otras maquinarias n.c.p.,
,,,3313,,Reparación de equipo electrónico y óptico,
,,,,33130,Reparación de equipo electrónico y óptico,
,,,3314,,Reparación de equipo eléctrico,
,,,,33140,Reparación de equipo eléctrico,
,,,3315,,"Reparación de equipo de transporte, excepto vehículos automotores",
,,,,33150,"Reparación de equipo de transporte, excepto vehículos automotores",
,,,3316,,Reparación de máquinas de oficina,
,,,,33160,Reparación de máquinas de oficina,
,,,3319,,Reparación de otros tipos de equipo,
,,,,33190,Reparación de otros tipos de equipo,
,,332,,,Instalación de maquinaria y equipo industrial,
,,,3320,,Instalación de maquinaria y equipo industrial,
,,,,33200,Instalación de maquinaria y equipo industrial,
D,,,,,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
,35,,,,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AGUA CALIENTE",
,,351,,,"Generación, transmisión y distribución de energía eléctrica",
,,,3510,,"Generación, transmisión y distribución de energía eléctrica",
,,,,35101,Generación de energía eléctrica,
,,,,35102,Transmisión de energía eléctrica,
,,,,35103,Distribución de energía eléctrica,
,,352,,,Fabricación de gas; distribución de combustibles gaseosos,
,,,3520,,Fabricación de gas; distribución de combustibles gaseosos,
,,,,35201,Fabricación de combustibles gaseosos,
,,,,35202,Suministro y distribución de combustibles gaseosos por tuberías,
,,,,35203,Suministro y distribución de combustibles gaseosos por otros medios,
,,353,,,"Suministro de vapor, aire acondicionado, agua caliente y producción de hielo",
,,,3530,,"Suministro de vapor, aire acondicionado, agua caliente y producción de hielo",
,,,,35300,"Suministro de vapor, aire acondicionado, agua caliente y producción de hielo",
E,,,,,"SUMINISTRO DE AGUA; EVACUACIÓN DE AGUAS RESIDUALES, GESTIÓN DE DESECHOS Y DESCONTAMINACIÓN",
,36,,,,"CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",
,,360,,,"Captación, tratamiento y distribución de agua",
,,,3600,,"Captación, tratamiento y distribución de agua",
,,,,36000,"Captación, tratamiento y distribución de agua",
,37,,,,"EVACUACIÓN DE AGUAS SERVIDAS, LIMPIEZA DE CLOACAS Y ALCANTARILLAS",
,,370,,,"Evacuación de aguas servidas, limpieza de cloacas y alcantarillas",
,,,3700,,"Evacuación de aguas servidas, limpieza de cloacas y alcantarillas",
,,,,37000,"Evacuación de aguas servidas, limpieza de cloacas y alcantarillas",
,38,,,,"RECOGIDA, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS; RECUPERACIÓN DE MATERIALES",
,,381,,,Servicio de recogida de desechos,
,,,3811,,Servicio de recogida de desechos no peligrosos,
,,,,38110,Servicio de recogida de desechos no peligrosos,
,,,3812,,Recogida de desechos peligrosos,
,,,,38120,Recogida de desechos peligrosos,
,,382,,,Tratamiento y eliminación de desechos,
,,,3821,,Tratamiento y eliminación de desechos no peligrosos,
,,,,38210,Tratamiento y eliminación de desechos no peligrosos,
,,,3822,,Tratamiento y eliminación de desechos peligrosos,
,,,,38220,Tratamiento y eliminación de desechos peligrosos,
,,383,,,Recuperación de desechos metálicos y no metálicos,
,,,3830,,Recuperación de desechos metálicos y no metálicos,
,,,,38300,Recuperación de desechos metálicos y no metálicos,
,39,,,,SERVICIOS DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,
,,390,,,Servicios de descontaminación y otros servicios de gestión de desechos,
,,,3900,,Servicios de descontaminación y otros servicios de gestión de desechos,
,,,,39000,Servicios de descontaminación y otros servicios de gestión de desechos,
F,,,,,CONSTRUCCIÓN,
,41,,,,CONSTRUCCIÓN DE EDIFICIOS,
,,410,,,Construcción de edificaciones,
,,,4100,,Construcción de edificaciones,
,,,,41000,Construcción de edificaciones,
,42,,,,CONSTRUCCIÓN DE OBRAS DE INGENIERÍA CIVIL,
,,421,,,Construcción de obras de ingeniería civil,
,,,4210,,Construcción de obras de ingeniería civil,
,,,,42101,Construcción de obras de ingeniería civil,
,,,,42102,Mantenimiento y reparación de carreteras,
,,422,,,Construcción de obras de servicio público,
,,,4220,,Construcción de obras de servicio público,
,,,,42200,Construcción de obras de servicio público,
,,429,,,Construcción de otras obras de ingeniería civil,
,,,4290,,Construcción de otras obras de ingeniería civil,
,,,,42900,Construcción de otras obras de ingeniería civil,
,43,,,,ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,
,,431,,,Demolición y derribo de edificios y otras estructuras,
,,,4311,,Demolición y derribo de edificios y otras estructuras,
,,,,43110,Demolición y derribo de edificios y otras estructuras,
,,,4312,,"Preparación de terreno, para obras posteriores de actividades de construcción",
,,,,43120,"Preparación de terreno,para obras posteriores de actividades de construcción",
,,432,,,"Instalaciones eléctricas, de fontanería y otras instalaciones para obras de construcción",
,,,4321,,Instalación de sistemas eléctricos en edificaciones y estructuras de ingeniería civil,
,,,,43210,Instalación de sistemas eléctricos en edificaciones y estructuras de ingeniería civil,
,,,4322,,"Instalaciones de fontanería, calefacción y aire acondicionado",
,,,,43220,"Instalaciones de fontanería, calefacción y aire acondicionado",
,,,4329,,Otras instalaciones para obras de construcción,
,,,,43290,Otras instalaciones para obras de construcción,
,,433,,,Terminación y acabado de edificios,
,,,4331,,Terminación de edificios y obras de ingeniería civil,
,,,,43311,Revestimiento de yeso de interiores y exteriores,
,,,,43312,Instalaciones de productos de carpintería,
,,,,43313,"Colocación de pisos de madera, cerámica y otros revestimientos para paredes y pisos",
,,,,43314,Pintura de interior y exteriores de edificaciones,
,,,,43315,Instalación de vidrios en obras de construcción,
,,,,43319,Otros trabajos de terminación de edificios y obras de ingeniería civil n.c.p.,
,,439,,,Otras actividades especializadas de construcción,
,,,4390,,Otras actividades especializadas de construcción,
,,,,43900,Otras actividades especializadas de construcción,
G,,,,,VENTA POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
,45,,,,VENTA POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,la reparación es en la 38 de la CIP - CN
,,451,,,Venta de vehículos automotores,
,,,4510,,Venta de vehículos automotores,
,,,,45101,Venta de vehículos automotores nuevos,
,,,,45102,Venta de vehículos automotores usados,
,,452,,,Mantenimiento y reparación de vehículos automotores,
,,,4520,,Mantenimiento y reparación de vehículos automotores,
,,,,45201,Mantenimiento y reparación integral de vehículos,
,,,,45202,Lavado de automotores automático y manual,
,,,,45203,Mantenimiento de neumáticos,
,,,,45204,Pintura de vehículos automotores,
,,,,45205,Tapicería de vehículos automotores,
,,,,45209,Mantenimiento y reparación de vehículos n.c.p.,
,,453,,,"Venta de partes, piezas y accesorios para vehículos automotores",
,,,4530,,"Venta de partes, piezas y accesorios para vehículos automotores",
,,,,45300,"Venta de partes, piezas y accesorios para vehículos automotores",
,,454,,,"Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios",
,,,4540,,"Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios",
,,,,45401,"Venta de motocicletas y de sus partes, piezas y accesorios",
,,,,45402,Mantenimiento y reparación de motocicletas,
,46,,,,"VENTA POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",
,,461,,,Venta por mayor a cambio de una retribución o por contrato,
,,,4610,,Venta por mayor a cambio de una retribución o por contrato,
,,,,46101,Venta por mayor a cambio de una retribución o por contrato de productos agrícolas y pecuarios,
,,,,46102,"Venta por mayor a cambio de una retribución o por contrato de minerales, productos químicos y farmacéuticos",
,,,,46103,"Venta por mayor a cambio de una retribución o por contrato de alimentos, bebidas y tabaco",
,,,,46104,"Venta por mayor a cambio de una retribución o por contrato de productos textiles, prendas de vestir, calzado, excepto el ortopédico, artículos de marroquinería y productos de cuero n.c.p.",
,,,,46105,Venta por mayor a cambio de una retribución o por contrato de madera y materiales de construcción,
,,,,46106,Venta por mayor a cambio de una retribución o por contrato de maquinaria industrial y equipo de oficina,
,,,,46107,"Venta por mayor a cambio de una retribución o por contrato de papel, cartón, libros, revistas, diarios, materiales de embalaje y artículos de librería",
,,,,46109,Venta por mayor a cambio de una retribución o por contrato de mercaderías n.c.p.,
,,462,,,Venta por mayor de materias primas agropecuarias y animales vivos,
,,,4620,,Venta por mayor de materias primas agropecuarias y de animales vivos,
,,,,46201,Venta por mayor de materias primas agrícolas y de la silvicultura,
,,,,46202,Venta por mayor de animales vivos,
,,,,46203,"Venta por mayor de cueros, pieles y lana en bruto",
,,,,46204,Venta por mayor de residuos y subproductos agropecuarios,
,,463,,,"Venta por mayor de alimentos, bebidas y tabaco",
,,,4630,,"Venta por mayor de alimentos, bebidas y tabaco",
,,,,46301,"Venta por mayor de frutas, tubérculos y hortalizas",
,,,,46302,Venta por mayor de productos lácteos,
,,,,46303,"Venta por mayor de huevos, aceites y grasas comestibles",
,,,,46304,Venta por mayor de carne en general y productos cárnicos,
,,,,46305,"Venta por mayor de productos de panadería, pastelería y pastas frescas",
,,,,46306,"Venta por mayor de café, té, cacao y especias",
,,,,46307,"Venta por mayor de bebidas, cigarrillos y tabaco",
,,,,46308,"Venta por mayor de azúcar, dulces, chocolates, golosinas y otros",
,,,,46309,Venta por mayor de otros productos alimenticios n.c.p.,
,,464,,,Venta por mayor de enseres domésticos,
,,,4641,,"Venta por mayor de productos textiles, prendas de vestir y calzado",
,,,,46411,Venta por mayor de hilados de lana y algodón,
,,,,46412,Venta por mayor de telas,
,,,,46413,Venta por mayor de confecciones para el hogar,
,,,,46414,Venta por mayor de prendas y accesorios de vestir,
,,,,46415,Venta por mayor de calzado (excepto el ortopédico),
,,,,46416,"Venta por mayor de partes, piezas y accesorios para el calzado",
,,,,46417,Venta por mayor de artículos de talabartería,
,,,,46418,Venta por mayor de artículos de mercería,
,,,,46419,"Venta por mayor de otros productos textiles, cuero y piel en tiendas especializadas n.c.p.",
,,,4642,,"Venta por mayor de libros, revistas, periódicos, papel, cartón, materiales de embalaje y artículos de librería",
,,,,46421,Venta por mayor de libros y revistas,
,,,,46422,Venta por mayor de periódicos,
,,,,46423,"Venta por mayor de papel, cartón, materiales de embalaje y artículos de librería",
,,,4643,,Venta por mayor de artículos y equipos de uso doméstico,
,,,,46431,"Venta por mayor de muebles, artículos de mimbre y corcho; colchones y somieres",
,,,,46432,Venta por mayor de artículos de iluminación,
,,,,46433,Venta por mayor de artículos de bazar y menaje de cocina,
,,,,46434,"Venta por mayor de artefactos para el hogar, eléctricos, a gas y otros combustibles",
,,,,46435,Venta por mayor de instrumentos musicales,
,,,,46436,"Venta por mayor de aparatos de radió, televisión, CD, DVD grabadas y otro equipo de video y audio",
,,,,46439,Venta por mayor de otros artículos para el hogar n.c.p.,
,,,4644,,"Venta por mayor de productos farmacéuticos, perfumería, instrumental médico y artículos ortopédicos",
,,,,46441,Venta por mayor de productos farmacéuticos medicinales,
,,,,46442,Venta por mayor de productos de perfumería y de belleza,
,,,,46443,"Venta por mayor de instrumental médico, odontológico y artículos ortopédicos",
,,,,46444,Venta por mayor de productos veterinarios,
,,,4645,,"Venta por mayor de artículos de óptica, fotografía, relojería y joyería",
,,,,46451,Venta por mayor de artículos de óptica,
,,,,46452,Venta por mayor de artículos de fotografía,
,,,,46453,Venta por mayor de artículos de relojería,
,,,,46454,Venta por mayor de artículos de joyería y bisutería,
,,,4649,,Venta por mayor de otros enseres domésticos,
,,,,46491,Venta por mayor de materiales y productos de limpieza,
,,,,46492,"Venta por mayor de juegos, juguetes y artículos de cotillón",
,,,,46493,Venta por mayor de artículos de esparcimiento y deportes,
,,,,46494,Venta por mayor de bicicletas y rodados similares,
,,,,46495,"Venta por mayor de revestimientos de pared, pisos y artículos similares para la decoración",
,,,,46496,Venta por mayor de artesanías,
,,,,46499,Venta al por mayor de otros enseres domésticos n.c.p.,
,,465,,,"Venta por mayor de maquinaria, equipo y materiales",
,,,4651,,"Venta por mayor de computadoras, accesorios y programas informáticos",
,,,,46511,"Venta por mayor de computadoras, accesorios, partes y piezas",
,,,,46512,Venta por mayor de programas informáticos,
,,,4652,,"Venta por mayor de equipos electrónicos, de comunicaciones y sus partes",
,,,,46521,"Venta por mayor de equipos electrónicos, partes y piezas",
,,,,46522,Venta por mayor de equipo telefónico y de comunicaciones,
,,,,46523,Venta al por mayor de máquinas y equipos de control y seguridad,
,,,4653,,"Venta por mayor de maquinaria, equipo y materiales agropecuarios",
,,,,46530,"Venta por mayor de maquinaria, equipo y materiales agropecuarios",
,,,4659,,Venta por mayor de otros tipos de maquinaria y equipo,
,,,,46591,Venta por mayor de muebles y equipo de oficina,
,,,,46592,Venta por mayor de maquinaria y equipo de la industria manufacturera,
,,,,46593,"Venta por mayor de maquinaria, equipo de minería y construcción",
,,,,46599,"Venta por mayor de otros tipos de maquinaria, equipo y materiales n.c.p.",
,,466,,,Otras actividades de venta al por mayor especializada,
,,,4661,,"Venta por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",
,,,,46611,"Venta por mayor de gas licuado, diesel, gasolina y queroseno",
,,,,46612,Venta por mayor de aceites y grasas lubricantes,
,,,,46613,"Venta por mayor de carbón vegetal, leña y otros combustibles sólidos",
,,,4662,,Venta por mayor de metales y minerales metalíferos,
,,,,46621,"Venta por mayor de metales, minerales y productos semiacabados ferrosos y no ferrosos",
,,,,46622,Venta por mayor de oro y otros metales preciosos,
,,,4663,,"Venta por mayor de materiales de construcción, artículos de ferretería, materiales de fontanería, calefacción, y productos de vidrio",
,,,,46631,Venta por mayor de materiales de construcción,
,,,,46632,Venta por mayor de artículos sanitarios,
,,,,46633,Venta por mayor de artículos prefabricados de cemento,
,,,,46634,Venta al por mayor de materiales de construcción de acero y aluminio,
,,,,46635,"Venta por mayor de madera sin desbastar, puertas, ventanas, marcos y productos primarios",
,,,,46636,"Venta por mayor de artículos de ferretería, fontanería y calefacción",
,,,,46637,"Venta por mayor de pintura, barnices y productos conexos",
,,,,46638,"Venta por mayor de vidrio, espejos y sus productos",
,,,,46639,Venta por mayor de otros materiales de construcción n.c.p.,
,,,4669,,"Venta por mayor de sustancias químicas de uso industrial, desechos, chatarra y otros productos n.c.p.",
,,,,46691,"Venta por mayor de sustancias químicas de uso industrial: tinta, colorantes, anilina y similares",
,,,,46692,Venta por mayor de abonos y productos químicos de uso agrícola,
,,,,46693,Venta por mayor de fibras textiles sintéticas,
,,,,46694,Venta por mayor de materiales plásticos y caucho,
,,,,46695,Venta por mayor de papel a granel,
,,,,46696,Venta por mayor de desperdicios y desechos metálicos,
,,,,46697,Venta por mayor de desperdicios y desechos no metálicos,
,,,,46699,Venta al por mayor de otros productos en tiendas especializadas n.c.p.,
,,469,,,Venta al por mayor de diversos productos sin especialización,
,,,4690,,Venta al por mayor de diversos productos sin especialización,
,,,,46900,Venta por mayor de diversos productos sin especialización,
,47,,,,"VENTA POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES  Y MOTOCICLETAS",
,,471,,,Venta por menor en locales no especializados,
,,,4711,,"Venta por menor en supermercados, almacenes y tiendas de barrio no especializados con predominio de alimentos, bebidas y tabaco",
,,,,47111,"Venta por menor en supermercados con surtido compuesto principalmente de alimentos, bebidas y tabaco",
,,,,47112,"Venta por menor en almacenes con surtido compuesto principalmente de alimentos, bebidas y tabaco",
,,,,47113,"Venta por menor en tiendas de barrio con surtido compuesto principalmente de alimentos, bebidas y tabaco",
,,,4719,,Venta al por menor en locales no especializados sin predominio de alimentos,
,,,,47190,Venta al por menor en locales no especializados sin predominio de alimentos,
,,472,,,"Venta por menor de alimentos, bebidas y tabaco en tiendas especializadas",
,,,4721,,Venta por menor de alimentos en tiendas especializadas,
,,,,47211,"Venta por menor de frutas, hortalizas y tubérculos",
,,,,47212,Venta por menor de productos lácteos,
,,,,47213,"Venta por menor de huevos, aceites y grasas comestibles",
,,,,47214,"Venta por menor de carnes, embutidos y otros productos cárnicos",
,,,,47215,"Venta por menor de productos de panadería, pastelería y pastas frescas",
,,,,47216,"Venta por menor de café, té, cacao y especias",
,,,,47217,"Venta por menor de azúcar, dulces, chocolates y otros productos de confitería",
,,,,47219,Venta por menor de otros productos alimenticios en tiendas especializadas n.c.p.,
,,,4722,,Venta por menor de bebidas y tabaco en tiendas especializadas,
,,,,47221,Venta por menor de bebidas alcohólicas en tienda,
,,,,47222,Venta por menor de tabaco en tienda,
,,,,47223,Venta por menor de bebidas no alcohólicas en tienda,
